"accuracy","kappa","misclassification","recall.TRUE","recall.FALSE","precision.TRUE","precision.FALSE","prevalence.TRUE","prevalence.FALSE","detection_prevalence.TRUE","detection_prevalence.FALSE","f1.TRUE","f1.FALSE","TP","FP","FN","TN","classifier","method","cv.iteration","cv.fold","sampling","knn.k","info","preprocess","kknn.distance","kknn.kernel","kknn.k","neuralnet.algorithm","neuralnet.hidden","neuralnet.outThres"
0.888748416062041,0.661195997317658,0.111251583937959,0.87848208319412,0.944316488280721,0.988414637941717,0.590419357756404,0.844051589231538,0.155948410768462,0.750164597208299,0.249835402791701,0.930173499339455,0.726304198043778,576.5,6.75,79.75,114.5,"knn","cv",1,4,"under",21,"","normalize",NA,NA,NA,NA,NA,NA
0.897103998967752,0.678335743755978,0.102896001032248,0.891053662248951,0.929870613737976,0.985636448410697,0.613636167775153,0.844051589231538,0.155948410768462,0.763020549010266,0.236979450989734,0.935913396974625,0.738931078286717,584.75,8.5,71.5,112.75,"knn","cv",1,4,"under",23,"","normalize",NA,NA,NA,NA,NA,NA
0.885527604357939,0.646665065094818,0.114472395642061,0.88113758492037,0.909395745833898,0.981438807653418,0.589160117746612,0.844051589231538,0.155948410768462,0.757870062497312,0.242129937502688,0.928382040760446,0.713779771400736,578.25,11,78,110.25,"knn","cv",1,4,"under",25,"","normalize",NA,NA,NA,NA,NA,NA
0.884243084435887,0.647155126001657,0.115756915564114,0.875809179752756,0.929853678363365,0.985431642077632,0.580894672384864,0.844051589231538,0.155948410768462,0.750157980235101,0.249842019764899,0.927368465348698,0.714923096616645,574.75,8.5,81.5,112.75,"knn","cv",1,4,"under",27,"","normalize",NA,NA,NA,NA,NA,NA
0.88745810628844,0.653943761344782,0.11254189371156,0.880001832980659,0.927838368784718,0.98510220258684,0.588399640678504,0.844051589231538,0.155948410768462,0.754018156974455,0.245981843025545,0.929572347531723,0.719983774962629,577.5,8.75,78.75,112.5,"knn","cv",1,4,"under",29,"","normalize",NA,NA,NA,NA,NA,NA
0.890353445623368,0.660306356803515,0.109646554376631,0.883812228533244,0.925856929955291,0.984783962335213,0.595841957396271,0.844051589231538,0.155948410768462,0.757556996952884,0.242443003047116,0.931529681954915,0.724757060018018,580,9,76.25,112.25,"knn","cv",1,4,"under",31,"","normalize",NA,NA,NA,NA,NA,NA
0.881341042124097,0.638656594739605,0.118658957875903,0.873898471433344,0.92164002167728,0.983705735364739,0.575184249197324,0.844051873255981,0.155948126744019,0.749831070755333,0.250168929244667,0.925526684355408,0.708101662125989,573.5,9.5,82.75,111.75,"knn","cv",1,4,"under",33,"","normalize",NA,NA,NA,NA,NA,NA
0.89099529202357,0.661224983275857,0.10900470797643,0.885329078033931,0.9216738924265,0.984021935052557,0.598946075854062,0.844051589231538,0.155948410768462,0.759487498883386,0.240512501116614,0.931971650789603,0.72531160639982,581,9.5,75.25,111.75,"knn","cv",1,4,"under",35,"","normalize",NA,NA,NA,NA,NA,NA
0.882634651890108,0.644924406137996,0.117365348109892,0.873140336711586,0.934053651266766,0.986196911269993,0.577554401071574,0.844051873255981,0.155948126744019,0.747262024540587,0.252737975459413,0.92618900233549,0.713486385321878,573,8,83.25,113.25,"knn","cv",1,4,"under",37,"","normalize",NA,NA,NA,NA,NA,NA
0.875564924086775,0.628907005847322,0.124435075913225,0.864376832980659,0.936068960845414,0.986557432369225,0.560954859596062,0.844051589231538,0.155948410768462,0.739550145077137,0.260449854922863,0.921395555289741,0.701308816100512,567.25,7.75,89,113.5,"knn","cv",1,4,"under",39,"","normalize",NA,NA,NA,NA,NA,NA
