"elec_rep16_win","fips_state","elec_rep12_win","elec_voting_participation","elec_voting_power","demo_sex_ratio","demo_population_density","demo_median_age","demo_age_dependency_ratio","population_white","population_african_american","population_native","population_asian","population_other","population_latino","population_homnogenity_index","finance_gini_coef","finance_median_earning","poverty_children","poverty_child_living_in_families","poverty_below_federal_threshold","poverty_adult","demo_unemployment","occupation_management","occupation_service","occupation_sale","occupation_agriculture","occupcation_maintainance","occupation_transportation","education_less_than_high_school","education_at_least_bachelor","education_graduate_degree","education_school_enrollment","education_preschool_enrollment","demo_uninsured","healthcare_life_expectancy","health_infant_mortality","health_hiv","health_sti","health_poor_physiscal_health_days","health_poor_mental_health_days","health_children_with_single_parent","health_adult_smoking","health_adult_obesity","health_diabetes","health_low_birth_weight","health_teen_birth","health_injury","demo_violent_crime","demo_homicide","weather_winter_prcp","weather_winter_tavg"
TRUE,"1",TRUE,49.8272213441912,0.0807047838876789,98.2,34.3105749414566,36.8,63.4,71.1,19,0.7,1,2.6,5.6,0.551833,0.424,25846,18.3,19.6,14.8,10.2,0.072,25.9,17.2,23.7,0.9,16.3,16,17.8,17.5,5.6,69.5,37,0.149,75.6944298688194,7.1,296.164,596.7,4.5,4.6,0.343,0.202,0.362,0.12,0.08,45.5,65.5,395.76,7.8,13.79,51
FALSE,"1",FALSE,67.1256123723224,0.0909572114091339,85.7,16.6300604270056,38.7,68.9,28.9,69.2,0.2,0.3,0.7,0.7,0.553622,0.515,21566,53.6,47.5,31.8,24,0.116,25.2,16,22,1.4,9.7,25.7,23.2,14.3,6,77.4,43.1,0.143,71.7404846526656,6.6,393.407,1208.5,6,5.4,0.701,0.254,0.424,0.19,0.13,67.8,81.1,781.84,24,15.0133333333333,45.6780828924162
TRUE,"1",TRUE,48.5397539571553,0.103912669969889,99.7,35.3104432455876,39.3,66.9,81.6,1.4,1.2,0.2,1.9,13.6,0.712328,0.454,22130,36.5,28.3,20,16.2,0.069,21.8,13.5,20.3,1.6,12.2,30.6,31.9,10.9,4.7,69.9,17.7,0.23,74.7261091637456,6.3,87.71,246.2,4.8,4.7,0.29,0.192,0.306,0.115,0.09,56.3,91.7,243.43,3.3,15.55625,41.26
TRUE,"1",TRUE,58.1082848361996,0.154224624916479,95.1,50.4180247811531,37.9,57.2,75,19.9,0.3,0.6,1.4,2.7,0.6036255,0.405,28690,18.1,16.8,12.4,9.4,0.058,33.5,14.2,26,0.2,12.3,13.8,16.2,20.2,6.9,73.3,45.8,0.123,75.5809328549462,7.8,213,487.4,4.2,4.3,0.33,0.193,0.303,0.105,0.09,41.2,71.8,178.73,7.6,13.7566666666667,48.1
TRUE,"1",TRUE,50.6615871288139,0.0646210983938008,106,15.4979256654625,40.3,62.3,61.3,31.7,3.3,0.2,1.5,1.9,0.483068,0.464,22478,45.4,38.5,24.4,14.8,0.082,25.4,19.7,23.1,1.4,13.5,16.9,27,10.9,3.6,73.7,28.5,0.187,74.4872815533981,8.2,184.588,486.9,5.2,5,0.513,0.227,0.394,0.154,0.1,65.3,106.5,564.87,12,15.1429166666667,50
TRUE,"1",TRUE,54.035826117823,0.18493418141113,93.7,74.8878302400061,40.8,64.3,79.3,15,0.4,0.6,1.4,3.3,0.66277825,0.453,24799,31.3,24.6,16.8,11.2,0.07,29.3,17.2,23.6,0.5,10.4,19,18.8,15.8,5.9,73.3,42.8,0.161,72.7486886938565,11.4,165.135,695.5,5,5.1,0.374,0.223,0.347,0.13,0.08,51.5,73.7,497.87,7.2,15.185,41.26
TRUE,"1",TRUE,60.3427358204428,0.0345276420718321,100.7,10.3934986908833,43.2,68.6,86,11.4,0.3,0.2,0.9,1.2,0.74682325,0.418,22161,19.3,21.3,17.9,14.1,0.079,24.1,13.7,20.7,1.7,9.2,30.6,25.3,9.5,3.7,75.4,37.9,0.154,73.1393821624315,9.26281635301752,90.221,371,4.9,4.7,0.421,0.205,0.324,0.134,0.11,51.3,98.1,173.68,9.10615043400437,16.5466666666667,42.95
TRUE,"1",TRUE,49.1818839269571,0.04720976041513,93.8,19.2703684058337,38.8,67.2,79.6,3.8,0.4,0.2,1.1,14.9,0.66643175,0.454,21864,28.3,26.2,19.5,13.2,0.078,21.2,14.5,21.5,1.8,13.6,27.4,30.4,11.8,4.2,69.8,24.3,0.204,72.7373374613003,7.8,38.426,318,5.1,4.8,0.422,0.197,0.342,0.123,0.09,58.2,118,380.02,9.10615043400437,16.8175,41.55
TRUE,"1",TRUE,55.7244024786073,0.0491621905398252,96.6,18.0243409936446,42.2,68.7,84.7,9.4,0.7,0.2,1.5,3.4,0.73245,0.456,20589,23.9,18.8,16.3,10.5,0.067,22.6,15.1,23.8,1.7,16.6,20.2,27.7,8,2.9,70.1,30.7,0.193,75.0640691759919,9.26281635301752,136.492,460.4,4.9,4.8,0.426,0.219,0.347,0.131,0.09,55.5,85.1,320.11,9.7,15.53,50.1
FALSE,"1",FALSE,80.1169590643275,0.0231818536805477,89,5.18911903944804,42.4,68.8,17.3,81.2,0.1,0.2,0.4,0.8,0.67424875,0.484,20553,53.8,41.3,30.8,20.8,0.126,22.4,16.7,18.7,1.8,13.3,27.1,27.4,9.9,4.7,80.8,71,0.17,73.7118518518519,9.26281635301752,297.82,1295.6,6.2,5.6,0.497,0.265,0.459,0.227,0.16,51.8,78.2,1113.41,20.9133927378035,15.6007777777778,45.95
FALSE,"1",FALSE,74.4660695831898,0.037517029529421,89,9.14735831468975,40.2,68.4,39.4,58.8,0.1,0.2,0.5,0.9,0.50402025,0.48,20278,40,31.7,24.6,22.3,0.098,23.6,18.3,17.7,3.5,12.1,24.8,30.1,10,4.1,76.2,54.5,0.161,72.1756613756614,9.26281635301752,317.756,1260.7,5.6,5.1,0.591,0.218,0.359,0.174,0.14,42.6,69.2,169.64,12.1,15.8545,45.6780828924162
TRUE,"1",TRUE,65.6285093958224,0.0380333388290626,91.8,11.8576456402095,43,70.2,67.8,28.4,0.3,0.3,1,2.2,0.5343195,0.446,25342,13,19.7,15.1,15.4,0.074,25,17.9,25.1,2.9,9.9,19.1,23.9,15,6.2,74.5,25.5,0.169,75.0576329509906,9.26281635301752,205.226,607.4,4.4,4.4,0.301,0.175,0.352,0.14,0.08,45.4,71.6,318.2,12.8,14.845,48.9666666666667
TRUE,"1",TRUE,54.0571163700976,0.182157391900452,91.8,68.9427978142548,39,65.5,68.7,25.6,0.4,0.8,1.6,2.9,0.549107,0.466,25576,31.7,25.8,16.8,11.5,0.068,29.8,16.6,27.5,0.6,11.3,14.2,18.1,19,6.8,73.2,40.7,0.159,76.0803753910323,9,317.483,697.3,4.7,4.5,0.432,0.194,0.336,0.129,0.09,51.7,64.5,442.19,4.3,14.75,51.1333333333333
TRUE,"1",TRUE,50.6207370332205,0.0895167518504699,97.4,18.9349375661037,42.2,66,90.1,3.3,1.3,0.3,2.5,2.5,0.816113,0.438,23679,23.2,23.4,17.5,14.2,0.072,23,15.1,20.9,1.2,12.9,26.8,26,12,4.6,75.1,37.4,0.179,73.4484498480243,9.3,69.096,243.3,4.9,4.7,0.28,0.202,0.306,0.125,0.09,54,93.6,273.55,3.8,16.1083333333333,41.7
